,nominee_type,year,winner,award,title
1201,people,2015,False,"Best Performance by an Actor in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Martin Freeman
1202,people,2015,False,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Allison Tolman
1203,people,2015,False,Best Performance by an Actor In A Television Series - Drama,Dominic West
1204,people,2015,True,Best Performance by an Actress In A Television Series - Drama,Ruth Wilson
1205,people,2015,False,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Quvenzhané Wallis
1206,people,2015,False,Best Performance by an Actress in a Motion Picture - Drama,Reese Witherspoon
1207,people,2015,True,Best Performance by an Actor in a Supporting Role in any Motion Picture,J.K. Simmons
1208,people,2015,False,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Jessica Lange
1209,people,2015,False,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Uzo Aduba
1210,people,2015,False,Best Performance by an Actor In A Television Series - Drama,Clive Owen
1211,people,2015,False,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Kathy Bates
1212,people,2015,True,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Maggie Gyllenhaal
1213,people,2015,False,Best Performance by an Actress in a Television Series - Musical or Comedy,Julia Louis-Dreyfus
1214,people,2015,False,Best Performance by an Actor in a Television Series - Musical or Comedy,William Macy
1215,people,2015,False,Best Performance by an Actress in a Television Series - Musical or Comedy,Edie Falco
1216,people,2015,False,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Allison Janney
1217,people,2015,False,Best Performance by an Actor in a Television Series - Musical or Comedy,Louis C.K.
1218,people,2015,False,Best Performance by an Actor in a Motion Picture - Drama,Jake Gyllenhaal
1219,people,2015,False,Best Performance by an Actress In A Television Series - Drama,Viola Davis
1220,people,2015,False,Best Performance by an Actor in a Television Series - Musical or Comedy,Don Cheadle
1221,people,2015,False,Best Performance by an Actress In A Television Series - Drama,Claire Danes
1222,people,2015,True,"Best Performance by an Actress in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Joanne Froggatt
1223,people,2015,False,Best Performance by an Actor in a Television Series - Musical or Comedy,Ricky Gervais
1224,people,2015,False,Best Performance by an Actor In A Television Series - Drama,James Spader
1225,people,2015,True,Best Performance by an Actor in a Television Series - Musical or Comedy,Jeffrey Tambor
1226,people,2015,False,"Best Performance by an Actor in a Supporting Role in a Series, Limited Series or Motion Picture Made for Television",Jon Voight
1227,people,2015,False,Best Performance by an Actor In A Television Series - Drama,Liev Schreiber
1228,people,2015,False,"Best Performance by an Actress in a Limited Series, Anthology Series, or a Motion Picture Made for Television",Frances O'Connor
1229,people,2015,True,Best Performance by an Actress in a Television Series - Musical or Comedy,Gina Rodríguez
1230,people,2015,False,Best Performance by an Actress in a Television Series - Musical or Comedy,Lena Dunham
1231,people,2015,True,Best Performance by an Actress in a Motion Picture - Drama,Julianne Moore
1232,people,2015,False,Best Director - Motion Picture,Ava DuVernay
1233,people,2015,False,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julianne Moore
1234,people,2015,True,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Michael Keaton
1235,people,2015,False,Best Screenplay - Motion Picture,Graham Moore
1236,people,2015,False,Best Performance by an Actress in a Supporting Role in any Motion Picture,Keira Knightley
1237,people,2015,False,Best Performance by an Actor in a Motion Picture - Drama,Benedict Cumberbatch
1238,people,2015,False,Best Original Score - Motion Picture,Antonio Sanchez
1239,people,2015,True,Best Screenplay - Motion Picture,Alejandro González Iñárritu
1240,people,2015,False,Best Director - Motion Picture,Alejandro González Iñárritu
1241,people,2015,False,Best Performance by an Actor in a Supporting Role in any Motion Picture,Edward Norton
1242,people,2015,False,Best Performance by an Actress in a Supporting Role in any Motion Picture,Emma Stone
1243,people,2015,False,Best Screenplay - Motion Picture,Richard Linklater
1244,people,2015,False,Best Performance by an Actor in a Supporting Role in any Motion Picture,Robert Duvall
1245,people,2015,True,Best Director - Motion Picture,Richard Linklater
1246,people,2015,True,Best Performance by an Actress in a Supporting Role in any Motion Picture,Patricia Arquette
1247,people,2015,True,Best Original Score - Motion Picture,Jóhann Jóhannsson
1248,people,2015,True,Best Performance by an Actor in a Motion Picture - Drama,Eddie Redmayne
1249,people,2015,False,Best Performance by an Actress in a Motion Picture - Drama,Felicity Jones
1250,people,2015,False,Best Performance by an Actress in a Motion Picture - Drama,Jennifer Aniston
1251,people,2015,True,Best Performance by an Actor In A Television Series - Drama,Kevin Spacey
1252,people,2015,False,Best Performance by an Actress In A Television Series - Drama,Julianna Margulies
1253,people,2015,False,Best Original Score - Motion Picture,Alexandre Desplat
1254,people,2015,False,Best Performance by an Actress in a Motion Picture - Drama,Rosamund Pike
1255,people,2015,False,Best Director - Motion Picture,David Fincher
1256,people,2015,False,Best Screenplay - Motion Picture,Gillian Flynn
1257,people,2015,False,Best Original Score - Motion Picture,Hans Zimmer
1258,people,2015,False,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Joaquin Phoenix
1259,people,2015,False,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Helen Mirren
1260,people,2015,False,Best Performance by an Actress in a Supporting Role in any Motion Picture,Jessica Chastain
1261,people,2015,False,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Bill Murray
1262,people,2015,False,Best Performance by an Actress in a Supporting Role in any Motion Picture,Meryl Streep
1263,people,2015,False,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Emily Blunt
1264,people,2015,False,Best Performance by an Actor in a Supporting Role in any Motion Picture,Mark Ruffalo
1265,people,2015,False,Best Performance by an Actor in a Motion Picture - Drama,Steve Carell
1266,people,2015,False,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Christoph Waltz
1267,people,2015,True,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Amy Adams
1268,film,2015,True,Best Motion Picture - Musical or Comedy,The Grand Budapest Hotel
1269,people,2015,False,Best Performance by an Actor in a Motion Picture - Drama,David Oyelowo
1270,people,2015,False,Best Director - Motion Picture,Wes Anderson
1271,people,2015,False,Best Screenplay - Motion Picture,Wes Anderson
1272,people,2015,False,Best Performance by an Actor in a Motion Picture - Musical or Comedy,Ralph Fiennes
1273,people,2015,False,Best Original Score - Motion Picture,Trent Reznor
1274,tv-show,2015,False,Best Television Series - Drama,The Good Wife
1275,people,2015,False,Best Performance by an Actor in a Supporting Role in any Motion Picture,Ethan Hawke
1276,film,2015,False,Best Motion Picture - Drama,Selma
1277,song,2015,False,Best Original Song - Motion Picture,Big Eyes
1278,tv-show,2015,False,Best Television Series - Drama,Downton Abbey
1279,tv-show,2015,False,Best Television Series - Musical or Comedy,Girls
1280,tv-show,2015,False,Best Television Series - Musical or Comedy,Jane The Virgin
1281,tv-show,2015,False,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",The Missing
1282,tv-show,2015,True,Best Television Series - Musical or Comedy,Transparent
1283,tv-show,2015,False,Best Television Series - Drama,Game of Thrones
1284,tv-show,2015,False,Best Television Series - Musical or Comedy,Silicon Valley
1285,song,2015,False,Best Original Song - Motion Picture,Yellow Flicker Beat
1286,tv-show,2015,False,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Olive Kitteridge
1287,song,2015,False,Best Original Song - Motion Picture,Mercy Is
1288,song,2015,False,Best Original Song - Motion Picture,Opportunity
1289,film,2015,False,Best Motion Picture - Drama,The Theory of Everything
1290,film,2015,True,Best Motion Picture - Drama,Boyhood
1291,film,2015,False,Best Motion Picture - Drama,The Imitation Game
1292,film,2015,False,Best Motion Picture - Musical or Comedy,Birdman
1293,film,2015,False,Best Motion Picture - Drama,Foxcatcher
1294,tv-show,2015,False,Best Television Series - Musical or Comedy,Orange is the New Black
1295,song,2015,True,Best Original Song - Motion Picture,Glory
1296,tv-show,2015,False,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",The Normal Heart
1297,film,2015,False,Best Motion Picture - Musical or Comedy,St. Vincent
1298,film,2015,True,Best Motion Picture – Non-English Language,Leviathan
1299,film,2015,False,Best Motion Picture - Animated,The LEGO Movie
1300,film,2015,False,Best Motion Picture - Musical or Comedy,Into the Woods
1301,film,2015,False,Best Motion Picture – Non-English Language,Ida
1302,film,2015,True,Best Motion Picture - Animated,How to Train Your Dragon 2
1303,film,2015,False,Best Motion Picture – Non-English Language,Gett: The Trial of Viviane Amsalem
1304,film,2015,False,Best Motion Picture – Non-English Language,Force Majeure
1305,film,2015,False,Best Motion Picture - Animated,The Boxtrolls
1306,film,2015,False,Best Motion Picture - Animated,The Book of Life
1307,film,2015,False,Best Motion Picture – Non-English Language,Tangerines
1308,film,2015,False,Best Motion Picture - Animated,Big Hero 6
1309,tv-show,2015,False,Best Television Series - Drama,House of Cards
1310,tv-show,2015,True,Best Television Series - Drama,The Affair
1311,tv-show,2015,True,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Fargo
1312,tv-show,2015,False,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",True Detective
1313,film,2015,False,Best Motion Picture - Musical or Comedy,Pride
1314,tv-show,2014,False,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Dancing on the Edge
1315,tv-show,2014,False,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",The White Queen
1316,tv-show,2014,True,Best Television Series - Drama,Breaking Bad
1317,tv-show,2014,False,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",American Horror Story: Coven
1318,tv-show,2014,True,Best Television Series - Musical or Comedy,Brooklyn Nine-Nine
1319,tv-show,2014,False,Best Television Series - Musical or Comedy,Girls
1320,tv-show,2014,False,Best Television Series - Drama,Masters of Sex
1321,tv-show,2014,False,Best Television Series - Drama,House of Cards
1322,film,2014,False,Best Motion Picture – Non-English Language,The Wind Rises
1323,tv-show,2014,True,"Best Television Limited Series, Anthology Series, or Motion Picture Made for Television",Behind the Candelabra
1324,film,2014,False,Best Motion Picture - Musical or Comedy,Inside Llewyn Davis
1325,people,2014,False,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Meryl Streep
1326,people,2014,False,Best Performance by an Actress in a Supporting Role in any Motion Picture,Julia Roberts
1327,people,2014,False,Best Performance by an Actor in a Motion Picture - Drama,Robert Redford
1328,people,2014,True,Best Original Score - Motion Picture,Alex Ebert
1329,people,2014,True,Best Performance by an Actress in a Motion Picture - Drama,Cate Blanchett
1330,film,2014,False,Best Motion Picture - Drama,Rush
1331,film,2014,True,Best Motion Picture - Musical or Comedy,American Hustle
1332,film,2014,False,Best Motion Picture - Musical or Comedy,Nebraska
1333,film,2014,False,Best Motion Picture - Musical or Comedy,Her
1334,tv-show,2014,False,Best Television Series - Musical or Comedy,Parks And Recreation
1335,film,2014,True,Best Motion Picture - Animated,Frozen
1336,film,2014,False,Best Motion Picture - Musical or Comedy,The Wolf of Wall Street
1337,film,2014,False,Best Motion Picture – Non-English Language,Blue is the Warmest Color
1338,film,2014,False,Best Motion Picture - Animated,Despicable Me 2
1339,film,2014,False,Best Motion Picture - Animated,The Croods
1340,film,2014,True,Best Motion Picture – Non-English Language,The Great Beauty
1341,film,2014,False,Best Motion Picture – Non-English Language,The Hunt
1342,film,2014,False,Best Motion Picture – Non-English Language,The Past
1343,tv-show,2014,False,Best Television Series - Musical or Comedy,Modern Family
1344,song,2014,False,Best Original Song - Motion Picture,Atlas
1345,tv-show,2014,False,Best Television Series - Musical or Comedy,The Big Bang Theory
1346,people,2014,False,Best Performance by an Actress in a Motion Picture - Musical or Comedy,Julie Delpy
